                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.67065,                0.30248,                0.99354,                      1,                      1,                  0.995,                 0.8955,                 0.6116,                0.21393,                0.84017,             0.00041654,             0.00041654,             0.00041654
                    103,                0.66702,                0.29795,                0.99447,                      1,                      1,                  0.995,                0.86163,                0.60434,                0.20752,                0.84362,             0.00041242,             0.00041242,             0.00041242
                    104,                0.67478,                0.30362,                 1.0069,                0.98862,                      1,                  0.995,                0.90922,                0.52397,                0.18579,                0.82829,             0.00040829,             0.00040829,             0.00040829
                    105,                0.65495,                0.29748,                0.98858,                      1,                      1,                  0.995,                 0.8955,                0.52431,                0.19361,                0.82566,             0.00040417,             0.00040417,             0.00040417
                    106,                0.66656,                  0.305,                 1.0017,                      1,                      1,                  0.995,                0.91425,                0.55136,                0.21106,                0.83675,             0.00040005,             0.00040005,             0.00040005
                    107,                0.64982,                0.29591,                0.99958,                      1,                      1,                  0.995,                 0.8955,                0.48681,                0.18726,                0.81008,             0.00039592,             0.00039592,             0.00039592
                    108,                0.65548,                0.29804,                0.99432,                      1,                      1,                  0.995,                 0.8955,                0.50753,                 0.1952,                0.82166,              0.0003918,              0.0003918,              0.0003918
                    109,                0.66234,                0.29915,                0.99669,                      1,                      1,                  0.995,                0.86163,                0.57737,                0.18806,                0.83599,             0.00038768,             0.00038768,             0.00038768
                    110,                0.65972,                0.29743,                0.98396,                      1,                      1,                  0.995,                 0.8955,                0.56047,                 0.2199,                0.83424,             0.00038355,             0.00038355,             0.00038355
                    111,                0.66067,                 0.2937,                0.98192,                      1,                      1,                  0.995,                 0.8955,                0.56199,                0.19816,                0.83689,             0.00037943,             0.00037943,             0.00037943
                    112,                0.65793,                0.29567,                 0.9856,                      1,                      1,                  0.995,                 0.8955,                0.54807,                0.18255,                0.81948,             0.00037531,             0.00037531,             0.00037531
                    113,                0.64289,                0.29146,                0.98009,                      1,                      1,                  0.995,                 0.8955,                0.52744,                0.20453,                0.81613,             0.00037118,             0.00037118,             0.00037118
                    114,                0.65176,                0.29418,                0.97668,                      1,                      1,                  0.995,                 0.8955,                0.55364,                0.19125,                0.83036,             0.00036706,             0.00036706,             0.00036706
                    115,                0.65517,                 0.2941,                0.98736,                      1,                      1,                  0.995,                 0.8955,                0.52951,                 0.2063,                 0.8309,             0.00036294,             0.00036294,             0.00036294
                    116,                0.64297,                0.28975,                0.98242,                      1,                      1,                  0.995,                 0.8955,                 0.5595,                0.21406,                0.83038,             0.00035881,             0.00035881,             0.00035881
                    117,                0.66111,                0.29599,                0.99511,                      1,                      1,                  0.995,                 0.8955,                0.55714,                0.19994,                0.83022,             0.00035469,             0.00035469,             0.00035469
